id,fiscal_id,insert_date,cheque_date,store_name,buy_amount,cash_amount,cashless_amount,vat_amount,refund_amount,state,channel_type,cheque_status_message,with_card,card_cashback_amount
1850553433,HmUyHUqnSRkH,2025-06-01T16:48:48Z,2025-06-01T16:01:28Z,GRAND MARKET,52.99,0.00,52.99,8.08,1.41,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1849710982,8J9ohA3LPzRC,2025-05-31T22:06:10Z,2025-05-31T21:53:22Z,ARAZ MARKET,10.43,0.00,10.43,1.46,0.26,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1849710847,EZ4mCZbsfnM3,2025-05-31T22:06:06Z,2025-05-31T21:03:39Z,RAHAT MARKET CRESCENT,18.99,0.00,18.99,2.90,0.51,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1847325941,3wMqpTQXuLp1,2025-05-29T21:08:15Z,2025-05-29T20:46:28Z,ARAZ MARKET,9.17,0.00,9.17,1.40,0.25,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1846416071,4BbKFZffzjd6,2025-05-29T00:13:50Z,2025-05-29T00:03:09Z,AXUNDOV BRAVO,12.98,0.00,3.91,1.86,0.10,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1842799418,3sPKH8fYAkKr,2025-05-25T22:55:16Z,2025-05-25T22:01:42Z,GRAND MARKET,27.70,0.00,27.70,1.04,0.18,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1842285130,5EQJRSQFBhdr,2025-05-25T16:22:10Z,2025-05-25T16:16:59Z,ARAZ MARKET,12.20,0.00,12.20,0.52,0.09,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1842249541,7afuvVhUWkGa,2025-05-25T15:50:36Z,2025-05-25T15:49:49Z,AZ24 LCW TARQOVU MAĞAZASI,14.99,0.00,14.99,2.29,0.40,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1839033551,8jgWgoiZLEVU,2025-05-22T21:02:52Z,2025-05-22T20:50:41Z,ARAZ MARKET,21.20,0.00,21.20,2.75,0.48,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1836485219,wGdq7y8J6mm6,2025-05-20T18:08:23Z,2025-05-20T17:59:14Z,BRAVO,14.21,0.00,3.82,2.08,0.10,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1833377459,Zo4DSxxJRHd3,2025-05-17T22:07:57Z,2025-05-17T22:07:36Z,GRAND MARKET,10.99,0.00,10.99,1.68,0.29,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1830836293,2Y6CMEvG9sR1,2025-05-15T19:57:40Z,2025-05-15T19:51:07Z,ARAZ MARKET,9.73,0.00,9.73,0.86,0.15,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1829967605,5vvZY8GiqrqR,2025-05-14T22:04:43Z,2025-05-14T21:55:26Z,ARAZ MARKET,11.84,0.00,11.84,1.19,0.21,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
